***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  CEPEL: DECOMP     - Versao 30.1 - Jan/2020(L)                      *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA COMPASS COMERCIALIZADORA DE ENERGIA ELETRICA LTDA                                                                                                     


____________________________________________________________________

 PMO - MARCO/20 - ABR/20 - REV 0 - FCF COM CVAR - 12 REE - VALOR ESPERADO        
____________________________________________________________________

--------------------------------------
Resultado de operacao dos subsistemas.                                          
--------------------------------------
---------------------------------------------------
IPER;      Indice do periodo                                                                                                                                                                            
ICEN;      Indice do cenario                                                                                                                                                                            
IPAT;      Patamar de Carga                                                                                                                                                                             
Dur;       Duracao                                                                                                                                                                                      
SIST;      Numero do subsistema                                                                                                                                                                         
Nome Sist; Nome do subsistema                                                                                                                                                                           
Demanda;   Demanda                                                                                                                                                                                      
GerPeq;    Geracao das pequenas usinas                                                                                                                                                                  
Gter;      Geracao Termoeletrica                                                                                                                                                                        
GterAT;    Geracao termica antecipada                                                                                                                                                                   
Ghid;      Geração hidroeletrica                                                                                                                                                                        
Cbomb;     Energia Consumida para bombeamento                                                                                                                                                           
Compra;    Energia importada                                                                                                                                                                            
Venda;     Energia exportada                                                                                                                                                                            
IntercLiq; Saldo da energia de intercambio                                                                                                                                                              
Itaipu50;  Geracao 50Hz de Itaipu                                                                                                                                                                       
Itaipu60;  Geracao 60Hz de Itaipu                                                                                                                                                                       
Deficit;   Deficit no Subsistema                                                                                                                                                                        
ENA;       Energia Afluente                                                                                                                                                                             
EarmInic;  Energia Armazenada Inicial                                                                                                                                                                   
EarmInic%; Energia Armazenada Inicial em percentual                                                                                                                                                     
EarmFim;   Energia Armazenada Final                                                                                                                                                                     
EarmFim%;  Energia Armazenada Final em percentual                                                                                                                                                       
CMO;       Custo Marginal de Operacao                                                                                                                                                                   
---------------------------------------------------

@Tabela
-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
   1 ;    1 ;  -  ;   -    ;  2 ; S             ;    14517.3 ;   1773.0 ;   637.79 ;     0.00 ;  2692.58 ;     0.00 ;     0.00 ;     0.00 ;    9413.95 ;    -     ;    -     ;     0.00 ;    403.0 ;       4938.25 ;    24.82 ;       4817.94 ;    24.21 ;  138.01 ;
   1 ;    1 ;   1 ;  40.00 ;  3 ; NE            ;    13241.8 ;   4382.0 ;   376.80 ;     0.00 ;  3721.25 ;     0.00 ;     0.00 ;     0.00 ;    4761.75 ;    -     ;    -     ;     0.00 ;   2057.7 ;      29982.15 ;    58.10 ;      30349.71 ;    58.81 ;  114.08 ;
   1 ;    1 ;   2 ;  46.00 ;  3 ; NE            ;    12812.0 ;   4382.0 ;   376.80 ;     0.00 ;  3320.20 ;     0.00 ;     0.00 ;     0.00 ;    4733.00 ;    -     ;    -     ;     0.00 ;   2057.7 ;      29982.15 ;    58.10 ;      30349.71 ;    58.81 ;  114.08 ;
   1 ;    1 ;   3 ;  82.00 ;  3 ; NE            ;    11101.1 ;   4382.0 ;   376.80 ;     0.00 ;  2269.30 ;     0.00 ;     0.00 ;     0.00 ;    4073.00 ;    -     ;    -     ;     0.00 ;   2057.7 ;      29982.15 ;    58.10 ;      30349.71 ;    58.81 ;  113.35 ;
   1 ;    1 ;  -  ;   -    ;  3 ; NE            ;    12079.3 ;   4382.0 ;   376.80 ;     0.00 ;  2902.75 ;     0.00 ;     0.00 ;     0.00 ;    4417.70 ;    -     ;    -     ;     0.00 ;   2057.7 ;      29982.15 ;    58.10 ;      30349.71 ;    58.81 ;  113.72 ;
   1 ;    1 ;   1 ;  40.00 ;  4 ; N             ;     5974.1 ;    490.0 ;   942.55 ;     0.00 ; 18541.55 ;     0.00 ;     0.00 ;     0.00 ;  -14000.00 ;    -     ;    -     ;     0.00 ;   3205.3 ;       7224.82 ;    47.94 ;       8120.46 ;    53.88 ;   59.08 ;
   1 ;    1 ;   2 ;  46.00 ;  4 ; N             ;     5929.2 ;    490.0 ;   897.65 ;     0.00 ; 18541.55 ;     0.00 ;     0.00 ;     0.00 ;  -14000.00 ;    -     ;    -     ;     0.00 ;   3205.3 ;       7224.82 ;    47.94 ;       8120.46 ;    53.88 ;   59.08 ;
   1 ;    1 ;   3 ;  82.00 ;  4 ; N             ;     5399.3 ;    490.0 ;   650.50 ;     0.00 ; 17637.37 ;     0.00 ;     0.00 ;     0.00 ;  -13378.57 ;    -     ;    -     ;     0.00 ;   3205.3 ;       7224.82 ;    47.94 ;       8120.46 ;    53.88 ;    3.45 ;
   1 ;    1 ;  -  ;   -    ;  4 ; N             ;     5681.2 ;    490.0 ;   787.71 ;     0.00 ; 18100.23 ;     0.00 ;     0.00 ;     0.00 ;  -13696.69 ;    -     ;    -     ;     0.00 ;   3205.3 ;       7224.82 ;    47.94 ;       8120.46 ;    53.88 ;   31.93 ;
   1 ;    1 ;   1 ;  40.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;   59.08 ;
   1 ;    1 ;   2 ;  46.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;   59.08 ;
   1 ;    1 ;   3 ;  82.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    3.45 ;
   1 ;    1 ;  -  ;   -    ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;   31.93 ;
   2 ;    2 ;   1 ;  40.00 ;  1 ; SE            ;    50123.4 ;   3952.0 ;  3242.70 ;   393.00 ; 39286.63 ;    10.63 ;     0.00 ;     0.00 ;    5372.70 ;  3396.75 ;  6300.00 ;     0.00 ;  16256.4 ;      87781.21 ;    42.96 ;      93859.11 ;    45.94 ;  111.52 ;
   2 ;    2 ;   2 ;  46.00 ;  1 ; SE            ;    47100.0 ;   3952.0 ;  3244.70 ;   393.00 ; 36253.33 ;   115.60 ;     0.00 ;     0.00 ;    5437.57 ;  1900.00 ;  6670.57 ;     0.00 ;  16256.4 ;      87781.21 ;    42.96 ;      93859.11 ;    45.94 ;  109.90 ;
   2 ;    2 ;   3 ;  82.00 ;  1 ; SE            ;    38308.2 ;   3952.0 ;  3235.70 ;   393.00 ; 27268.06 ;   115.60 ;     0.00 ;     0.00 ;    5211.04 ;  1900.00 ;  3898.43 ;     0.00 ;  16256.4 ;      87781.21 ;    42.96 ;      93859.11 ;    45.94 ;  103.96 ;
   2 ;    2 ;  -  ;   -    ;  1 ; SE            ;    43528.6 ;   3952.0 ;  3239.83 ;   393.00 ; 32589.88 ;    90.61 ;     0.00 ;     0.00 ;    5311.55 ;  2256.37 ;  5229.27 ;     0.00 ;  16256.4 ;      87781.21 ;    42.96 ;      93859.11 ;    45.94 ;  107.39 ;
   2 ;    2 ;   1 ;  40.00 ;  2 ; S             ;    17100.8 ;   1773.0 ;   665.00 ;     0.00 ;  4162.80 ;     0.00 ;     0.00 ;     0.00 ;   10500.00 ;    -     ;    -     ;     0.00 ;    477.7 ;       4817.94 ;    24.21 ;       4849.87 ;    24.37 ;  162.95 ;
   2 ;    2 ;   2 ;  46.00 ;  2 ; S             ;    15162.6 ;   1773.0 ;   665.00 ;     0.00 ;  2224.60 ;     0.00 ;     0.00 ;     0.00 ;   10500.00 ;    -     ;    -     ;     0.00 ;    477.7 ;       4817.94 ;    24.21 ;       4849.87 ;    24.37 ;  156.75 ;
   2 ;    2 ;   3 ;  82.00 ;  2 ; S             ;    11786.0 ;   1773.0 ;   665.00 ;     0.00 ;  1412.80 ;     0.00 ;     0.00 ;     0.00 ;    7935.20 ;    -     ;    -     ;     0.00 ;    477.7 ;       4817.94 ;    24.21 ;       4849.87 ;    24.37 ;  103.96 ;
   2 ;    2 ;  -  ;   -    ;  2 ; S             ;    13976.0 ;   1773.0 ;   665.00 ;     0.00 ;  2289.84 ;     0.00 ;     0.00 ;     0.00 ;    9248.14 ;    -     ;    -     ;     0.00 ;    477.7 ;       4817.94 ;    24.21 ;       4849.87 ;    24.37 ;  132.46 ;
   2 ;    2 ;   1 ;  40.00 ;  3 ; NE            ;    13169.1 ;   4382.0 ;   399.20 ;     0.00 ;  3960.60 ;     0.00 ;     0.00 ;     0.00 ;    4427.30 ;    -     ;    -     ;     0.00 ;   1886.0 ;      30349.71 ;    58.81 ;      31036.19 ;    60.14 ;  111.52 ;
   2 ;    2 ;   2 ;  46.00 ;  3 ; NE            ;    12741.6 ;   4382.0 ;   399.20 ;     0.00 ;  3227.40 ;     0.00 ;     0.00 ;     0.00 ;    4733.00 ;    -     ;    -     ;     0.00 ;   1886.0 ;      30349.71 ;    58.81 ;      31036.19 ;    60.14 ;  111.52 ;
   2 ;    2 ;   3 ;  82.00 ;  3 ; NE            ;    11040.1 ;   4382.0 ;   399.20 ;     0.00 ;  2185.90 ;     0.00 ;     0.00 ;     0.00 ;    4073.00 ;    -     ;    -     ;     0.00 ;   1886.0 ;      30349.71 ;    58.81 ;      31036.19 ;    60.14 ;  110.81 ;
   2 ;    2 ;  -  ;   -    ;  3 ; NE            ;    12012.9 ;   4382.0 ;   399.20 ;     0.00 ;  2893.62 ;     0.00 ;     0.00 ;     0.00 ;    4338.07 ;    -     ;    -     ;     0.00 ;   1886.0 ;      30349.71 ;    58.81 ;      31036.19 ;    60.14 ;  111.17 ;
   2 ;    2 ;   1 ;  40.00 ;  4 ; N             ;     6070.1 ;    490.0 ;   851.83 ;     0.00 ; 18728.27 ;     0.00 ;     0.00 ;     0.00 ;  -14000.00 ;    -     ;    -     ;     0.00 ;   3395.5 ;       8120.46 ;    53.88 ;       9207.90 ;    61.10 ;   59.08 ;
   2 ;    2 ;   2 ;  46.00 ;  4 ; N             ;     6024.5 ;    490.0 ;   806.23 ;     0.00 ; 18728.27 ;     0.00 ;     0.00 ;     0.00 ;  -14000.00 ;    -     ;    -     ;     0.00 ;   3395.5 ;       8120.46 ;    53.88 ;       9207.90 ;    61.10 ;   59.08 ;
   2 ;    2 ;   3 ;  82.00 ;  4 ; N             ;     5486.1 ;    490.0 ;   650.50 ;     0.00 ; 17666.41 ;     0.00 ;     0.00 ;     0.00 ;  -13320.81 ;    -     ;    -     ;     0.00 ;   3395.5 ;       8120.46 ;    53.88 ;       9207.90 ;    61.10 ;    1.39 ;
   2 ;    2 ;  -  ;   -    ;  4 ; N             ;     5772.6 ;    490.0 ;   741.08 ;     0.00 ; 18209.98 ;     0.00 ;     0.00 ;     0.00 ;  -13668.49 ;    -     ;    -     ;     0.00 ;   3395.5 ;       8120.46 ;    53.88 ;       9207.90 ;    61.10 ;   30.92 ;
   2 ;    2 ;   1 ;  40.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;   59.08 ;
   2 ;    2 ;   2 ;  46.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;   59.08 ;
   2 ;    2 ;   3 ;  82.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    1.39 ;
   2 ;    2 ;  -  ;   -    ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;   30.92 ;
   3 ;    3 ;   1 ;  40.00 ;  1 ; SE            ;    49464.5 ;   3952.0 ;  3242.70 ;   393.00 ; 38327.04 ;     2.20 ;     0.00 ;     0.00 ;    5664.96 ;  3908.99 ;  6300.00 ;     0.00 ;  16408.9 ;      93859.11 ;    45.94 ;     100280.34 ;    49.08 ;  109.65 ;
   3 ;    3 ;   2 ;  46.00 ;  1 ; SE            ;    46480.8 ;   3952.0 ;  3244.70 ;   393.00 ; 35126.50 ;   115.18 ;     0.00 ;     0.00 ;    5944.78 ;  1900.00 ;  6773.71 ;     0.00 ;  16408.9 ;      93859.11 ;    45.94 ;     100280.34 ;    49.08 ;  109.48 ;
   3 ;    3 ;   3 ;  82.00 ;  1 ; SE            ;    37804.6 ;   3952.0 ;  3235.70 ;   393.00 ; 26365.31 ;   115.60 ;     0.00 ;     0.00 ;    5610.19 ;  1900.00 ;  4048.67 ;     0.00 ;  16408.9 ;      93859.11 ;    45.94 ;     100280.34 ;    49.08 ;  103.05 ;
   3 ;    3 ;  -  ;   -    ;  1 ; SE            ;    42956.4 ;   3952.0 ;  3239.83 ;   393.00 ; 31612.24 ;    88.48 ;     0.00 ;     0.00 ;    5714.84 ;  2378.33 ;  5330.84 ;     0.00 ;  16408.9 ;      93859.11 ;    45.94 ;     100280.34 ;    49.08 ;  106.38 ;
   3 ;    3 ;   1 ;  40.00 ;  2 ; S             ;    16438.4 ;   1773.0 ;   665.00 ;     0.00 ;  3500.40 ;     0.00 ;     0.00 ;     0.00 ;   10500.00 ;    -     ;    -     ;     0.00 ;    599.0 ;       4849.87 ;    24.37 ;       5024.69 ;    25.25 ;  127.71 ;
   3 ;    3 ;   2 ;  46.00 ;  2 ; S             ;    14575.3 ;   1773.0 ;   665.00 ;     0.00 ;  2041.37 ;     0.00 ;     0.00 ;     0.00 ;   10095.93 ;    -     ;    -     ;     0.00 ;    599.0 ;       4849.87 ;    24.37 ;       5024.69 ;    25.25 ;  109.48 ;
   3 ;    3 ;   3 ;  82.00 ;  2 ; S             ;    11329.5 ;   1773.0 ;   665.00 ;     0.00 ;  1522.60 ;     0.00 ;     0.00 ;     0.00 ;    7368.90 ;    -     ;    -     ;     0.00 ;    599.0 ;       4849.87 ;    24.37 ;       5024.69 ;    25.25 ;  103.05 ;
   3 ;    3 ;  -  ;   -    ;  2 ; S             ;    13434.6 ;   1773.0 ;   665.00 ;     0.00 ;  2135.55 ;     0.00 ;     0.00 ;     0.00 ;    8861.09 ;    -     ;    -     ;     0.00 ;    599.0 ;       4849.87 ;    24.37 ;       5024.69 ;    25.25 ;  110.68 ;
   3 ;    3 ;   1 ;  40.00 ;  3 ; NE            ;    13096.4 ;   4382.0 ;   399.20 ;     0.00 ;  4180.16 ;     0.00 ;     0.00 ;     0.00 ;    4135.04 ;    -     ;    -     ;     0.00 ;   1842.3 ;      31036.19 ;    60.14 ;      32779.31 ;    63.52 ;  109.65 ;
   3 ;    3 ;   2 ;  46.00 ;  3 ; NE            ;    12671.3 ;   4382.0 ;   399.20 ;     0.00 ;  3157.10 ;     0.00 ;     0.00 ;     0.00 ;    4733.00 ;    -     ;    -     ;     0.00 ;   1842.3 ;      31036.19 ;    60.14 ;      32779.31 ;    63.52 ;  109.63 ;
   3 ;    3 ;   3 ;  82.00 ;  3 ; NE            ;    10979.2 ;   4382.0 ;   399.20 ;     0.00 ;  2125.00 ;     0.00 ;     0.00 ;     0.00 ;    4073.00 ;    -     ;    -     ;     0.00 ;   1842.3 ;      31036.19 ;    60.14 ;      32779.31 ;    63.52 ;  108.70 ;
   3 ;    3 ;  -  ;   -    ;  3 ; NE            ;    11946.6 ;   4382.0 ;   399.20 ;     0.00 ;  2896.92 ;     0.00 ;     0.00 ;     0.00 ;    4268.49 ;    -     ;    -     ;     0.00 ;   1842.3 ;      31036.19 ;    60.14 ;      32779.31 ;    63.52 ;  109.18 ;
   3 ;    3 ;   1 ;  40.00 ;  4 ; N             ;     6166.1 ;    490.0 ;   791.34 ;     0.00 ; 18884.76 ;     0.00 ;     0.00 ;     0.00 ;  -14000.00 ;    -     ;    -     ;     0.00 ;   3622.4 ;       9207.90 ;    61.10 ;      10429.48 ;    69.20 ;   59.08 ;
   3 ;    3 ;   2 ;  46.00 ;  4 ; N             ;     6119.8 ;    490.0 ;   745.04 ;     0.00 ; 18884.76 ;     0.00 ;     0.00 ;     0.00 ;  -14000.00 ;    -     ;    -     ;     0.00 ;   3622.4 ;       9207.90 ;    61.10 ;      10429.48 ;    69.20 ;   59.08 ;
   3 ;    3 ;   3 ;  82.00 ;  4 ; N             ;     5572.8 ;    490.0 ;   650.50 ;     0.00 ; 17435.71 ;     0.00 ;     0.00 ;     0.00 ;  -13003.41 ;    -     ;    -     ;     0.00 ;   3622.4 ;       9207.90 ;    61.10 ;      10429.48 ;    69.20 ;    0.00 ;
   3 ;    3 ;  -  ;   -    ;  4 ; N             ;     5863.8 ;    490.0 ;   709.92 ;     0.00 ; 18177.49 ;     0.00 ;     0.00 ;     0.00 ;  -13513.57 ;    -     ;    -     ;     0.00 ;   3622.4 ;       9207.90 ;    61.10 ;      10429.48 ;    69.20 ;   30.24 ;
   3 ;    3 ;   1 ;  40.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;   59.08 ;
   3 ;    3 ;   2 ;  46.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;   59.08 ;
   3 ;    3 ;   3 ;  82.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   3 ;    3 ;  -  ;   -    ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;   30.24 ;
   4 ;    4 ;   1 ;  40.00 ;  1 ; SE            ;    48805.6 ;   3952.0 ;  3242.70 ;   393.00 ; 37652.49 ;    31.19 ;     0.00 ;     0.00 ;    5709.61 ;  3091.97 ;  6300.00 ;     0.00 ;  16132.1 ;     100280.34 ;    49.08 ;     106716.51 ;    52.23 ;  109.92 ;
   4 ;    4 ;   2 ;  46.00 ;  1 ; SE            ;    45861.6 ;   3952.0 ;  3244.70 ;   393.00 ; 33700.05 ;   115.60 ;     0.00 ;     0.00 ;    6752.45 ;  1900.00 ;  6773.71 ;     0.00 ;  16132.1 ;     100280.34 ;    49.08 ;     106716.51 ;    52.23 ;  107.88 ;
   4 ;    4 ;   3 ;  82.00 ;  1 ; SE            ;    37301.0 ;   3952.0 ;  3235.70 ;   393.00 ; 25531.34 ;   115.60 ;     0.00 ;     0.00 ;    5940.56 ;  1900.00 ;  4006.09 ;     0.00 ;  16132.1 ;     100280.34 ;    49.08 ;     106716.51 ;    52.23 ;  100.62 ;
   4 ;    4 ;  -  ;   -    ;  1 ; SE            ;    42384.2 ;   3952.0 ;  3239.83 ;   393.00 ; 30654.00 ;    95.50 ;     0.00 ;     0.00 ;    6107.87 ;  2183.80 ;  5310.06 ;     0.00 ;  16132.1 ;     100280.34 ;    49.08 ;     106716.51 ;    52.23 ;  104.82 ;
   4 ;    4 ;   1 ;  40.00 ;  2 ; S             ;    15776.0 ;   1773.0 ;   665.00 ;     0.00 ;  3108.93 ;     0.00 ;     0.00 ;     0.00 ;   10229.07 ;    -     ;    -     ;     0.00 ;    655.8 ;       5024.69 ;    25.25 ;       5259.51 ;    26.43 ;  109.92 ;
   4 ;    4 ;   2 ;  46.00 ;  2 ; S             ;    13987.9 ;   1773.0 ;   665.00 ;     0.00 ;  2261.63 ;     0.00 ;     0.00 ;     0.00 ;    9288.27 ;    -     ;    -     ;     0.00 ;    655.8 ;       5024.69 ;    25.25 ;       5259.51 ;    26.43 ;  107.88 ;
   4 ;    4 ;   3 ;  82.00 ;  2 ; S             ;    10872.9 ;   1773.0 ;   665.00 ;     0.00 ;  1527.41 ;     0.00 ;     0.00 ;     0.00 ;    6907.49 ;    -     ;    -     ;     0.00 ;    655.8 ;       5024.69 ;    25.25 ;       5259.51 ;    26.43 ;  100.62 ;
   4 ;    4 ;  -  ;   -    ;  2 ; S             ;    12893.2 ;   1773.0 ;   665.00 ;     0.00 ;  2105.00 ;     0.00 ;     0.00 ;     0.00 ;    8350.22 ;    -     ;    -     ;     0.00 ;    655.8 ;       5024.69 ;    25.25 ;       5259.51 ;    26.43 ;  104.82 ;
   4 ;    4 ;   1 ;  40.00 ;  3 ; NE            ;    13023.7 ;   4382.0 ;   399.20 ;     0.00 ;  3881.18 ;     0.00 ;     0.00 ;     0.00 ;    4361.32 ;    -     ;    -     ;     0.00 ;   2047.7 ;      32779.31 ;    63.52 ;      33995.68 ;    65.88 ;  109.92 ;
   4 ;    4 ;   2 ;  46.00 ;  3 ; NE            ;    12601.0 ;   4382.0 ;   399.20 ;     0.00 ;  3086.80 ;     0.00 ;     0.00 ;     0.00 ;    4733.00 ;    -     ;    -     ;     0.00 ;   2047.7 ;      32779.31 ;    63.52 ;      33995.68 ;    65.88 ;  109.91 ;
   4 ;    4 ;   3 ;  82.00 ;  3 ; NE            ;    10918.2 ;   4382.0 ;   399.20 ;     0.00 ;  2064.00 ;     0.00 ;     0.00 ;     0.00 ;    4073.00 ;    -     ;    -     ;     0.00 ;   2047.7 ;      32779.31 ;    63.52 ;      33995.68 ;    65.88 ;  109.21 ;
